NU_ANO_CENSO,NO_REGIAO,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_LOCALIZACAO,SUM_MAT_QT_BAS,SUM_MAT_FUND_AI,SUM_MAT_BAS_ND,SUM_MAT_BAS_BRANCA,SUM_MAT_BAS_PRETA,SUM_MAT_BAS_PARDA,SUM_MAT_BAS_AMARELA,SUM_MAT_BAS_INDIGENA
2012.0,Sudeste,3.0,0.0,2.0,526461.0,313812.0,170071.0,163540.0,23048.0,167072.0,1422.0,1308.0
2012.0,Sudeste,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Sudeste,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Sudeste,4.0,1.0,1.0,3089654.0,919669.0,1171149.0,1479993.0,63192.0,349301.0,22966.0,3053.0
2012.0,Sudeste,4.0,1.0,2.0,11190.0,4484.0,4454.0,4574.0,292.0,1787.0,77.0,6.0
2012.0,Sudeste,4.0,2.0,1.0,123966.0,7188.0,40020.0,46639.0,6094.0,30515.0,606.0,92.0
2012.0,Sudeste,4.0,2.0,2.0,1723.0,6.0,677.0,505.0,52.0,480.0,4.0,5.0
2012.0,Sudeste,4.0,3.0,1.0,41042.0,13374.0,15087.0,20413.0,758.0,4608.0,150.0,26.0
2012.0,Sudeste,4.0,4.0,1.0,710451.0,169195.0,276555.0,309900.0,19470.0,100247.0,3767.0,512.0
2012.0,Sudeste,4.0,4.0,2.0,6968.0,1936.0,2148.0,3022.0,210.0,1540.0,41.0,7.0
2012.0,Sul,1.0,0.0,1.0,37351.0,486.0,19534.0,15682.0,566.0,1424.0,126.0,19.0
2012.0,Sul,1.0,0.0,2.0,4944.0,0.0,2788.0,1910.0,79.0,155.0,8.0,4.0
2012.0,Sul,2.0,0.0,1.0,2739940.0,403426.0,1200702.0,1209830.0,46312.0,272478.0,6238.0,4380.0
2012.0,Sul,2.0,0.0,2.0,158385.0,39086.0,60371.0,71697.0,1467.0,13469.0,273.0,11108.0
2012.0,Sul,3.0,0.0,1.0,2358373.0,1220759.0,760328.0,1295116.0,50027.0,243272.0,6577.0,3053.0
